Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,Total,-,-,-,-,82,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,3 Bedrooms,-,-,-,-,44,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,Total,415,500,628,47,533,2.04%,8.11%,0.00%,-2.08%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,1 Bedroom,400,435,493,s,135,2.35%,3.57%,9.09%,-20.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,2 Bedrooms,418,513,598,s,288,-3.30%,6.77%,-6.67%,3.70%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,3 Bedrooms,-,-,-,-,72,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,Total,380,490,685,"3,272","31,820",-2.00%,-7.55%,-13.78%,6.55%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,Bedsitter,255,310,360,111,"1,017",3.33%,-3.12%,-7.50%,8.82%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,1 Bedroom,316,380,460,974,"8,065",0.00%,-3.80%,-8.20%,7.03%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,Not Specified,258,305,550,56,"2,087",-23.75%,-33.70%,9.80%,-23.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,2 Bedrooms,420,520,650,"1,496","14,153",4.00%,-5.45%,-13.73%,14.46%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,3 Bedrooms,675,800,930,499,"5,001",0.00%,0.00%,-20.16%,-7.76%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Total,4 or more Bedrooms,845,1098,1253,136,"1,497",4.52%,9.75%,-33.33%,-1.45%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,Total,600,750,900,775,"7,207",-1.32%,3.45%,-16.85%,-3.12%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,Bedsitter,-,-,-,-,69,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,1 Bedroom,300,385,460,69,400,6.94%,-7.23%,7.81%,11.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,Not Specified,-,-,-,-,130,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,2 Bedrooms,570,670,750,289,"2,484",3.08%,0.00%,-0.34%,15.60%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,3 Bedrooms,715,840,950,299,"2,935",1.82%,5.00%,-23.14%,-16.01%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,House,4 or more Bedrooms,900,1100,1298,107,"1,189",3.53%,10.00%,-39.20%,-6.96%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,Total,220,305,530,116,"3,180",-17.57%,-27.38%,-4.92%,-15.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,Bedsitter,193,210,279,s,278,-20.00%,-17.32%,200.00%,-5.26%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,1 Bedroom,180,220,290,37,615,-24.14%,-36.23%,-9.76%,15.63%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,Not Specified,265,435,609,s,"1,401",6.10%,-5.43%,-12.50%,-44.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,2 Bedrooms,380,450,655,s,629,12.50%,-11.76%,-30.30%,-8.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,3 Bedrooms,-,-,-,-,198,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Other,4 or more Bedrooms,-,-,-,-,59,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,Total,628,750,863,188,"2,371",7.14%,4.17%,-22.31%,-16.81%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,1 Bedroom,405,540,610,s,146,20.00%,25.58%,33.33%,-33.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,Not Specified,-,-,-,-,66,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,2 Bedrooms,600,673,750,82,"1,091",5.08%,3.46%,-20.39%,-23.36%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,3 Bedrooms,750,810,950,77,880,1.25%,-3.57%,-28.04%,-8.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Townhouse,4 or more Bedrooms,775,1000,1215,s,181,-4.76%,-14.89%,-23.81%,14.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,Total,360,430,550,"2,193","19,062",-4.44%,-4.44%,-12.24%,14.94%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,Bedsitter,280,320,373,83,663,6.67%,-3.03%,-17.00%,16.90%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,1 Bedroom,320,380,460,856,"6,904",-2.56%,-3.80%,-9.61%,7.27%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,Not Specified,253,295,359,s,490,-7.09%,-15.71%,44.44%,73.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,2 Bedrooms,400,470,595,"1,102","9,949",-2.08%,-6.00%,-15.75%,19.14%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,3 Bedrooms,553,660,850,118,988,-4.00%,-14.29%,-1.67%,28.26%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Inner West,Flat/Unit,4 or more Bedrooms,-,-,-,-,68,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,Total,500,620,950,823,"8,245",0.00%,1.64%,-13.91%,3.91%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,Bedsitter,-,-,-,-,46,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,1 Bedroom,391,425,470,146,"1,240",-1.73%,-1.16%,-12.05%,2.10%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,Not Specified,-,-,-,-,231,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,2 Bedrooms,500,560,610,310,"2,882",0.00%,0.00%,-12.43%,13.55%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,3 Bedrooms,750,850,958,162,"1,893",0.00%,6.25%,-27.03%,-6.36%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Total,4 or more Bedrooms,998,1250,1600,196,"1,953",0.00%,13.90%,-2.49%,1.03%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,Total,840,1063,1400,272,"2,810",-3.19%,11.84%,-6.85%,0.74%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,1 Bedroom,-,-,-,-,34,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,Not Specified,-,-,-,-,60,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,2 Bedrooms,500,550,600,s,129,-8.33%,3.77%,61.54%,40.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,3 Bedrooms,723,850,909,54,749,0.00%,8.28%,-28.95%,-16.92%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,House,4 or more Bedrooms,1000,1275,1600,189,"1,829",2.00%,15.91%,-3.08%,5.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,Total,191,410,488,s,340,-8.89%,-31.95%,33.33%,-33.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,1 Bedroom,-,-,-,-,41,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,Not Specified,-,-,-,-,96,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,2 Bedrooms,-,-,-,-,70,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,3 Bedrooms,-,-,-,-,66,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Other,4 or more Bedrooms,-,-,-,-,51,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,Total,713,925,1188,s,258,19.35%,5.71%,-18.52%,-42.11%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,2 Bedrooms,-,-,-,-,38,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,3 Bedrooms,855,1025,1175,s,161,24.62%,20.59%,-25.00%,-46.43%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Townhouse,4 or more Bedrooms,-,-,-,-,44,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,Total,450,550,650,517,"4,837",0.00%,0.00%,-17.68%,10.94%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,1 Bedroom,390,428,470,136,"1,161",-2.84%,-2.84%,-13.92%,1.49%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,Not Specified,-,-,-,-,64,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,2 Bedrooms,500,560,620,284,"2,645",0.00%,0.00%,-14.97%,12.25%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,3 Bedrooms,750,825,950,90,917,-1.79%,3.13%,-27.42%,16.88%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Ku-Ring-Gai,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,Total,430,530,700,567,"5,539",1.44%,-3.64%,-23.99%,6.18%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,Bedsitter,255,295,421,s,70,4.42%,-15.71%,75.00%,27.27%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,1 Bedroom,420,450,500,158,"1,241",0.00%,-4.26%,-16.84%,16.18%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,Not Specified,-,-,-,-,209,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,2 Bedrooms,440,550,650,280,"2,772",5.77%,-1.79%,-28.93%,5.66%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,3 Bedrooms,680,760,913,83,885,1.33%,0.00%,-20.95%,-1.19%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Total,4 or more Bedrooms,1245,1500,1850,31,362,15.38%,36.36%,-36.73%,-3.12%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,Total,680,860,1500,77,759,-9.47%,1.18%,-9.41%,13.24%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,1 Bedroom,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,2 Bedrooms,600,633,696,s,102,15.00%,-2.69%,27.27%,55.56%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,3 Bedrooms,680,775,900,s,285,-7.19%,-5.49%,20.83%,7.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,House,4 or more Bedrooms,1400,1600,1850,s,315,18.52%,33.33%,-32.56%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,Total,-,-,-,-,170,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,Not Specified,-,-,-,-,52,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,2 Bedrooms,-,-,-,-,57,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,Total,740,813,909,s,220,12.85%,8.33%,-36.84%,-29.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,2 Bedrooms,-,-,-,-,80,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,3 Bedrooms,720,800,923,s,113,0.00%,1.27%,0.00%,-21.43%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,Total,425,495,620,476,"4,390",-1.00%,-6.60%,-24.92%,7.21%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,Bedsitter,249,285,364,s,56,0.88%,-18.57%,50.00%,20.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,1 Bedroom,420,450,500,154,"1,183",0.00%,-5.26%,-15.38%,17.56%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,Not Specified,-,-,-,-,124,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,2 Bedrooms,430,540,650,265,"2,533",3.85%,-1.82%,-28.38%,4.74%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,3 Bedrooms,663,740,913,43,466,2.78%,1.02%,-37.68%,2.38%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Lane Cove,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,Total,350,430,540,"1,645","19,404",0.00%,2.38%,4.05%,-4.47%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,Bedsitter,276,325,485,s,59,16.07%,22.64%,100.00%,100.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,1 Bedroom,270,330,380,169,"1,311",0.00%,10.00%,-1.17%,-8.65%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,Not Specified,340,400,475,132,"1,757",0.00%,0.00%,3.94%,25.71%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,2 Bedrooms,300,380,424,610,"6,146",0.00%,1.33%,7.39%,-3.79%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,3 Bedrooms,430,480,540,404,"5,801",0.00%,2.13%,0.00%,-3.81%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Total,4 or more Bedrooms,570,615,680,318,"4,330",2.50%,6.03%,4.26%,-14.52%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,Total,450,550,620,685,"8,865",4.76%,5.77%,3.95%,-7.56%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,1 Bedroom,210,290,338,s,100,-10.77%,0.00%,120.00%,69.23%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,Not Specified,-,-,-,-,300,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,2 Bedrooms,308,365,400,71,613,-1.35%,-0.95%,-4.05%,-6.58%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,3 Bedrooms,430,480,550,280,"3,906",-2.04%,1.59%,-1.41%,-3.45%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,House,4 or more Bedrooms,570,620,680,297,"3,928",3.33%,6.90%,6.07%,-14.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,Total,300,378,448,194,"2,267",-0.66%,4.86%,18.29%,12.79%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,1 Bedroom,200,223,268,s,206,-11.00%,-12.75%,15.79%,-29.03%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,Not Specified,340,400,473,99,940,-4.19%,0.00%,10.00%,50.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,2 Bedrooms,300,360,400,53,545,-5.26%,2.86%,55.88%,1.92%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,3 Bedrooms,376,405,445,s,389,-1.22%,-7.95%,7.69%,-6.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Other,4 or more Bedrooms,-,-,-,-,178,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,Total,410,480,550,107,"1,557",-4.00%,2.13%,15.05%,-8.55%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,1 Bedroom,-,-,-,-,36,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,Not Specified,-,-,-,-,55,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,2 Bedrooms,380,420,450,s,367,5.66%,10.53%,15.00%,-25.81%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,3 Bedrooms,460,500,550,58,905,0.00%,1.52%,-1.69%,-9.37%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Townhouse,4 or more Bedrooms,560,580,645,s,193,-5.69%,0.00%,-7.14%,-23.53%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,Total,300,380,430,659,"6,715",2.70%,1.33%,-0.90%,-4.77%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,Bedsitter,-,-,-,-,31,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,1 Bedroom,280,350,380,117,969,0.00%,2.94%,-17.61%,-15.83%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,Not Specified,323,360,415,s,462,5.88%,-2.70%,-26.92%,-9.52%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,2 Bedrooms,290,380,430,463,"4,621",0.00%,0.00%,5.23%,-2.53%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,3 Bedrooms,425,470,500,52,601,2.17%,2.17%,8.33%,1.96%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Liverpool,Flat/Unit,4 or more Bedrooms,-,-,-,-,31,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,Total,460,600,875,408,"4,019",-4.76%,-1.64%,-6.64%,14.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,Bedsitter,-,-,-,-,40,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,1 Bedroom,391,430,474,130,"1,177",1.18%,-4.44%,-4.41%,4.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,Not Specified,-,-,-,-,231,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,2 Bedrooms,540,628,750,188,"1,715",-3.46%,-3.46%,8.05%,32.39%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,3 Bedrooms,920,1200,1425,45,568,9.09%,20.00%,-38.36%,-4.26%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Total,4 or more Bedrooms,1795,2600,3500,41,288,18.18%,40.54%,0.00%,10.81%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,Total,1290,1850,3100,61,504,23.33%,32.14%,-18.67%,3.39%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,1 Bedroom,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,2 Bedrooms,-,-,-,-,48,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,3 Bedrooms,1225,1290,1650,s,154,-0.77%,9.79%,-34.78%,-25.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,House,4 or more Bedrooms,1809,2675,3575,38,252,20.22%,40.79%,0.00%,22.58%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,Total,-,-,-,-,222,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,1 Bedroom,-,-,-,-,48,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,Not Specified,-,-,-,-,84,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,2 Bedrooms,-,-,-,-,47,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,3 Bedrooms,-,-,-,-,32,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,Total,-,-,-,-,177,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,2 Bedrooms,-,-,-,-,42,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,3 Bedrooms,-,-,-,-,101,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Mosman,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
